subj,lct_G&S_frontomargin,lct_G&S_occipital_inf,lct_G&S_paracentral,lct_G&S_subcentral,lct_G&S_transv_frontopol,lct_G&S_cingul-Ant,lct_G&S_cingul-Mid-Ant,lct_G&S_cingul-Mid-Post,lct_G_cingul-Post-dorsal,lct_G_cingul-Post-ventral,lct_G_cuneus,lct_G_front_inf-Opercular,lct_G_front_inf-Orbital,lct_G_front_inf-Triangul,lct_G_front_middle,lct_G_front_sup,lct_G_Ins_lg&S_cent_ins,lct_G_insular_short,lct_G_occipital_middle,lct_G_occipital_sup,lct_G_oc-temp_lat-fusifor,lct_G_oc-temp_med-Lingual,lct_G_oc-temp_med-Parahip,lct_G_orbital,lct_G_pariet_inf-Angular,lct_G_pariet_inf-Supramar,lct_G_parietal_sup,lct_G_postcentral,lct_G_precentral,lct_G_precuneus,lct_G_rectus,lct_G_subcallosal,lct_G_temp_sup-G_T_transv,lct_G_temp_sup-Lateral,lct_G_temp_sup-Plan_polar,lct_G_temp_sup-Plan_tempo,lct_G_temporal_inf,lct_G_temporal_middle,lct_Lat_Fis-ant-Horizont,lct_Lat_Fis-ant-Vertical,lct_Lat_Fis-post,lct_Pole_occipital,lct_Pole_temporal,lct_S_calcarine,lct_S_central,lct_S_cingul-Marginalis,lct_S_circular_insula_ant,lct_S_circular_insula_inf,lct_S_circular_insula_sup,lct_S_collat_transv_ant,lct_S_collat_transv_post,lct_S_front_inf,lct_S_front_middle,lct_S_front_sup,lct_S_interm_prim-Jensen,lct_S_intrapariet&P_trans,lct_S_oc_middle&Lunatus,lct_S_oc_sup&transversal,lct_S_occipital_ant,lct_S_oc-temp_lat,lct_S_oc-temp_med&Lingual,lct_S_orbital_lateral,lct_S_orbital_med-olfact,lct_S_orbital-H_Shaped,lct_S_parieto_occipital,lct_S_pericallosal,lct_S_postcentral,lct_S_precentral-inf-part,lct_S_precentral-sup-part,lct_S_suborbital,lct_S_subparietal,lct_S_temporal_inf,lct_S_temporal_sup,lct_S_temporal_transverse
ff0278cb,2.026,2.256,2.302,2.468,2.267,2.7,2.523,2.149,1.959,2.355,1.761,2.533,2.198,2.656,2.408,2.698,3.071,3.25,2.331,2.04,2.255,1.741,2.533,2.613,2.163,2.477,2.133,2.132,3.063,2.086,2.389,2.196,2.432,2.956,2.751,2.015,2.746,2.664,1.932,2.313,2.137,1.821,3.446,1.559,1.9,1.795,2.525,2.361,2.419,2.35,1.852,2.166,1.736,2.374,1.463,1.742,2.211,2.02,2.129,2.149,1.692,1.876,2.128,2.789,1.789,1.977,1.792,2.289,2.648,2.171,1.92,2.447,2.0,2.119
5769ccdc,2.318,2.28,2.207,2.535,2.61,2.348,2.058,2.101,2.652,2.519,1.876,2.646,2.792,2.333,2.367,2.409,2.612,3.407,2.367,1.943,2.622,2.145,2.808,2.442,2.229,2.394,2.154,1.976,2.686,2.342,2.411,2.485,2.376,2.703,3.241,2.321,2.481,2.338,2.14,2.078,2.185,1.992,2.982,1.828,1.91,1.979,2.83,2.242,2.406,2.141,1.678,2.127,1.959,2.126,2.129,1.9,1.99,1.976,2.109,2.119,2.13,1.951,2.165,2.549,2.012,1.628,2.02,2.17,2.335,2.108,1.965,1.934,1.959,2.316
8e645fdb,2.212,2.225,2.565,2.264,2.566,2.391,2.38,2.327,2.75,2.441,1.836,2.395,2.683,2.481,2.46,2.663,2.598,3.181,2.448,2.127,2.682,1.794,2.848,2.534,2.482,2.329,2.254,2.164,2.815,2.285,2.422,2.437,2.069,2.672,2.872,2.242,2.684,2.676,2.039,2.101,2.089,1.816,2.951,1.635,2.114,2.109,2.851,2.502,2.099,2.275,1.852,2.138,2.179,2.302,2.346,2.07,2.034,2.117,2.09,2.268,2.188,2.531,2.035,2.586,2.21,1.854,2.038,2.146,2.324,2.254,2.1,2.153,2.171,1.963
00798ad4,2.018,2.752,2.101,2.614,1.993,2.398,2.305,2.298,2.779,2.951,1.988,2.599,2.493,2.34,2.292,2.5,2.854,3.364,2.649,2.042,2.772,2.03,3.231,2.417,2.552,2.555,2.195,2.151,2.635,2.398,2.231,2.17,2.237,2.674,3.146,2.315,2.745,2.82,1.856,2.16,2.134,2.01,3.226,1.894,1.813,2.084,2.877,2.659,2.38,2.454,2.057,2.036,1.958,2.09,2.304,1.999,2.102,2.259,2.337,2.219,2.359,1.835,2.161,2.354,2.213,1.933,2.007,2.306,2.279,2.043,2.227,2.388,2.371,2.249
3d47ebfa,2.173,2.613,2.114,2.476,2.096,2.649,2.225,2.268,2.875,2.617,1.732,2.39,2.646,2.505,2.448,2.443,3.131,3.508,2.433,1.776,2.589,1.919,2.931,2.706,2.434,2.662,2.039,1.89,2.515,2.331,2.486,1.845,2.389,2.585,2.824,2.543,3.03,2.766,2.041,2.085,2.199,1.95,3.361,1.662,1.69,1.911,2.84,2.319,2.288,2.33,1.76,1.999,2.006,2.023,2.514,1.795,1.891,1.934,2.068,2.301,2.228,1.775,2.563,2.514,1.926,2.434,1.851,2.247,1.964,2.446,2.066,2.437,2.265,1.787
9ef3cf5f,2.437,2.073,2.755,2.823,2.376,2.496,2.843,2.574,2.996,2.565,2.057,2.765,2.763,2.678,2.631,2.832,3.256,3.725,2.434,2.367,2.857,2.199,2.864,2.672,2.831,2.835,2.728,2.427,2.805,2.648,2.429,1.94,2.639,3.181,3.128,2.737,2.951,3.156,2.092,2.306,2.374,2.175,3.478,1.867,2.154,2.358,2.706,2.581,2.487,2.686,2.076,2.214,2.14,2.454,2.503,2.284,2.81,2.02,2.317,2.467,2.464,2.232,2.186,2.498,2.32,2.388,2.336,2.533,2.62,2.045,2.34,2.379,2.613,2.398
548cd151,2.404,2.352,2.332,2.525,2.461,2.639,2.408,2.333,2.872,2.321,1.713,2.581,2.774,2.556,2.506,2.643,3.159,3.353,2.492,2.132,2.78,1.989,2.79,2.629,2.454,2.475,2.325,2.201,2.764,2.261,2.402,2.2,2.131,2.47,3.029,2.198,3.057,2.794,2.48,2.491,2.168,2.06,3.357,1.776,1.862,2.081,2.623,2.445,2.437,2.52,2.084,2.233,2.155,2.301,2.495,2.063,2.001,2.048,2.086,2.398,2.255,2.233,2.04,2.724,2.041,2.15,1.919,2.368,2.276,2.008,2.408,2.812,2.17,2.133
75777eb3,2.275,2.621,2.235,2.716,2.13,2.544,2.498,2.227,2.844,3.253,1.802,2.579,2.587,2.401,2.438,2.673,2.715,3.198,2.579,2.124,3.248,2.075,2.876,2.643,2.563,2.687,2.167,2.042,2.827,2.464,2.416,1.877,2.512,3.043,3.299,2.526,3.095,2.794,1.943,2.335,2.231,2.142,3.292,1.713,1.892,2.037,2.54,2.726,2.442,2.915,2.059,2.275,1.971,2.387,2.435,2.066,2.037,1.997,2.326,2.573,2.061,1.965,2.155,2.557,2.003,2.326,2.14,2.443,2.343,2.06,2.355,2.527,2.286,2.382
b7ba74a5,2.13,2.673,2.857,2.463,2.295,2.483,2.108,2.013,3.266,2.735,1.986,2.553,2.755,2.478,2.477,2.627,2.726,3.548,2.505,2.602,2.639,2.002,3.523,2.742,2.418,2.504,2.499,2.097,2.492,2.789,2.436,2.407,1.865,2.807,2.91,2.355,2.695,2.735,2.29,1.992,1.919,2.157,3.407,1.572,1.634,2.533,2.519,2.422,1.992,2.553,1.901,1.978,2.0,2.125,2.396,2.059,1.776,1.75,2.041,2.194,2.273,1.707,2.072,2.787,1.788,1.597,2.011,2.077,2.246,2.172,2.495,2.353,2.06,2.463
f9b75c4d,2.05,2.902,2.374,2.567,2.491,2.668,2.412,2.343,2.565,2.109,1.886,2.685,2.815,2.531,2.644,2.706,3.012,3.652,2.533,2.166,2.816,1.897,3.347,2.609,2.392,2.587,2.195,2.278,2.675,2.381,2.389,2.321,2.693,3.054,3.628,2.382,2.705,2.781,2.34,2.165,2.268,1.947,3.268,1.606,2.002,2.141,2.714,2.739,2.569,2.486,2.369,2.139,2.044,2.299,2.134,1.839,2.088,2.089,2.124,2.538,2.314,2.379,2.289,2.721,1.986,2.014,2.078,2.308,2.374,1.99,2.288,2.417,2.404,2.624
