subj,rct_G&S_frontomargin,rct_G&S_occipital_inf,rct_G&S_paracentral,rct_G&S_subcentral,rct_G&S_transv_frontopol,rct_G&S_cingul-Ant,rct_G&S_cingul-Mid-Ant,rct_G&S_cingul-Mid-Post,rct_G_cingul-Post-dorsal,rct_G_cingul-Post-ventral,rct_G_cuneus,rct_G_front_inf-Opercular,rct_G_front_inf-Orbital,rct_G_front_inf-Triangul,rct_G_front_middle,rct_G_front_sup,rct_G_Ins_lg&S_cent_ins,rct_G_insular_short,rct_G_occipital_middle,rct_G_occipital_sup,rct_G_oc-temp_lat-fusifor,rct_G_oc-temp_med-Lingual,rct_G_oc-temp_med-Parahip,rct_G_orbital,rct_G_pariet_inf-Angular,rct_G_pariet_inf-Supramar,rct_G_parietal_sup,rct_G_postcentral,rct_G_precentral,rct_G_precuneus,rct_G_rectus,rct_G_subcallosal,rct_G_temp_sup-G_T_transv,rct_G_temp_sup-Lateral,rct_G_temp_sup-Plan_polar,rct_G_temp_sup-Plan_tempo,rct_G_temporal_inf,rct_G_temporal_middle,rct_Lat_Fis-ant-Horizont,rct_Lat_Fis-ant-Vertical,rct_Lat_Fis-post,rct_Pole_occipital,rct_Pole_temporal,rct_S_calcarine,rct_S_central,rct_S_cingul-Marginalis,rct_S_circular_insula_ant,rct_S_circular_insula_inf,rct_S_circular_insula_sup,rct_S_collat_transv_ant,rct_S_collat_transv_post,rct_S_front_inf,rct_S_front_middle,rct_S_front_sup,rct_S_interm_prim-Jensen,rct_S_intrapariet&P_trans,rct_S_oc_middle&Lunatus,rct_S_oc_sup&transversal,rct_S_occipital_ant,rct_S_oc-temp_lat,rct_S_oc-temp_med&Lingual,rct_S_orbital_lateral,rct_S_orbital_med-olfact,rct_S_orbital-H_Shaped,rct_S_parieto_occipital,rct_S_pericallosal,rct_S_postcentral,rct_S_precentral-inf-part,rct_S_precentral-sup-part,rct_S_suborbital,rct_S_subparietal,rct_S_temporal_inf,rct_S_temporal_sup,rct_S_temporal_transverse
ff0278cb,2.06,2.486,2.4,2.458,2.431,2.64,2.705,2.406,2.223,2.421,1.659,2.35,2.455,2.368,2.614,2.809,3.047,3.059,2.531,1.956,2.553,1.876,2.985,2.743,2.271,2.54,2.112,2.275,2.862,2.078,2.334,2.262,2.573,2.658,2.561,2.252,2.506,2.55,2.756,2.27,2.08,1.895,3.028,1.662,1.981,2.072,2.397,2.271,2.373,2.825,1.693,1.834,1.848,2.361,1.718,1.833,1.921,1.955,1.975,2.049,1.955,1.765,2.248,2.492,1.832,2.116,1.977,2.207,2.311,2.605,1.79,2.25,1.912,2.134
5769ccdc,2.38,2.421,2.272,2.35,2.271,2.399,2.338,2.327,2.83,2.785,1.8,2.724,2.665,2.378,2.386,2.512,2.696,3.034,2.52,2.185,2.943,2.381,3.083,2.762,2.45,2.584,2.263,2.184,2.743,2.459,2.383,2.309,1.955,2.934,3.311,2.436,2.915,3.041,2.203,2.697,2.209,2.044,3.555,1.83,1.946,2.046,2.879,2.399,2.555,2.694,2.112,2.14,2.096,2.186,2.128,2.057,1.906,2.034,2.338,2.351,2.306,2.054,2.268,2.758,2.111,2.026,2.008,2.22,2.184,2.446,2.174,2.443,2.392,2.508
8e645fdb,2.359,2.231,2.407,2.427,2.521,2.517,2.647,2.48,2.844,2.478,1.717,2.753,2.705,2.491,2.482,2.692,2.994,3.112,2.591,2.125,2.438,1.897,2.769,2.621,2.511,2.505,2.228,2.194,2.68,2.5,2.405,2.496,2.137,2.811,3.064,2.266,2.605,2.96,2.161,2.353,2.187,1.97,3.261,1.748,2.013,2.199,2.614,2.463,2.661,2.654,1.98,2.145,2.175,2.315,2.176,2.152,1.955,2.284,2.202,2.422,2.299,1.832,2.459,2.528,2.033,2.06,2.163,2.41,2.171,2.131,2.327,2.411,2.342,2.263
00798ad4,2.057,2.683,2.307,2.722,2.272,2.27,2.294,2.329,2.928,2.618,2.006,2.584,2.55,2.619,2.381,2.495,3.258,3.298,2.52,2.2,2.788,2.183,3.281,2.495,2.499,2.597,2.093,2.168,2.57,2.389,2.346,2.919,2.307,2.925,3.004,2.721,2.856,2.873,2.073,2.356,2.233,1.876,3.055,1.894,1.863,2.05,2.587,2.647,2.458,2.512,2.146,1.957,1.805,2.099,2.124,2.079,2.189,2.17,2.199,2.338,2.588,1.696,2.003,2.368,2.242,2.093,2.051,2.307,2.191,2.804,2.266,2.52,2.403,2.586
3d47ebfa,2.146,2.547,2.07,2.346,2.233,2.638,2.532,2.241,2.494,2.443,1.691,2.334,2.816,2.602,2.333,2.399,3.209,3.136,2.406,1.96,2.835,2.036,2.71,2.649,2.526,2.452,2.026,1.952,2.46,2.18,2.041,1.769,2.237,2.542,2.974,2.479,2.712,2.624,2.333,2.11,1.985,1.982,3.268,1.563,1.511,2.231,2.807,2.0,2.325,2.387,1.86,1.949,1.751,1.871,1.749,1.712,1.857,1.956,2.065,2.233,2.18,1.922,2.176,2.596,1.794,1.908,1.886,2.142,2.005,2.313,2.09,2.658,2.274,2.084
9ef3cf5f,2.075,2.642,2.556,2.73,2.418,2.55,2.446,2.51,3.038,2.611,1.979,2.686,2.73,2.801,2.652,2.659,3.28,3.372,2.66,2.411,2.839,2.302,2.875,2.898,2.793,2.72,2.774,2.362,2.847,2.558,2.378,2.226,2.768,3.043,2.884,2.684,2.753,3.098,2.446,2.328,2.446,2.073,3.255,1.827,2.146,2.288,2.909,2.374,2.369,3.042,2.079,2.156,2.128,2.453,2.437,2.207,2.145,2.063,2.229,2.414,2.503,2.237,2.079,2.395,2.331,2.493,2.184,2.49,2.374,2.253,2.858,2.493,2.44,2.81
548cd151,2.35,2.446,2.335,2.641,2.546,2.371,2.452,2.31,2.996,2.926,1.735,2.439,2.668,2.715,2.585,2.561,3.047,2.905,2.527,2.061,2.644,2.002,2.98,2.836,2.548,2.54,2.152,1.955,2.625,2.334,2.315,2.428,2.245,2.832,3.232,2.164,2.816,2.856,2.369,2.179,2.027,1.808,3.034,1.735,1.803,2.088,2.962,2.284,2.451,2.519,2.225,2.063,2.057,2.303,2.28,1.878,1.941,1.962,2.163,2.43,2.085,2.075,1.877,2.754,2.124,2.401,1.861,2.459,2.26,2.028,2.324,2.498,2.367,2.131
75777eb3,2.233,2.41,2.132,2.694,2.456,2.496,2.503,2.316,2.738,2.895,1.817,2.628,2.658,2.296,2.626,2.694,3.384,2.671,2.487,1.993,3.098,2.016,3.506,2.564,2.556,2.66,2.178,1.978,2.835,2.298,2.019,2.09,2.69,2.901,3.126,2.663,2.831,2.848,2.002,2.196,2.361,2.106,3.441,1.776,1.701,1.909,2.828,2.843,2.472,2.759,1.965,2.136,2.155,2.288,2.465,1.902,1.989,2.016,2.143,2.488,2.244,2.042,2.154,2.407,1.948,2.099,1.999,2.382,2.306,1.966,2.148,2.598,2.351,2.424
b7ba74a5,2.318,2.426,2.527,2.446,2.461,2.399,2.267,2.403,2.667,2.243,1.998,2.406,2.895,2.52,2.387,2.622,2.836,2.666,2.493,2.749,2.61,2.106,3.14,2.73,2.435,2.409,2.403,1.844,2.468,2.978,2.193,1.949,1.734,2.679,2.366,2.184,2.668,2.667,2.27,1.979,1.903,2.112,2.99,1.692,1.522,2.528,2.423,2.103,2.191,2.245,1.994,1.841,1.956,2.031,1.894,1.968,1.914,1.792,1.967,2.57,2.286,1.903,2.287,2.5,1.816,1.44,1.734,1.89,1.82,2.418,2.372,2.188,2.253,1.594
f9b75c4d,2.228,2.745,2.278,2.659,2.352,2.543,2.593,2.237,2.437,2.307,1.79,2.718,2.701,2.426,2.599,2.624,3.334,3.569,2.399,2.145,2.985,1.965,3.225,2.832,2.507,2.621,2.199,2.017,2.522,2.239,2.211,2.301,2.304,2.981,3.408,2.553,2.796,2.813,1.776,2.236,2.155,1.966,3.351,1.894,1.873,2.129,2.967,2.521,2.448,2.596,2.367,2.279,2.031,2.303,1.934,1.863,2.175,2.099,2.115,2.39,2.112,2.21,2.269,2.84,1.993,1.447,2.161,2.335,2.254,2.277,2.245,2.356,2.421,2.519
