Independent_Variable,Dependent_Variable,Correlation,P_Value,Sample_Size
Age_x,Right-Hippocampus,-0.5415837331587132,1.1930494719882953e-30,384
Age_x,Left-Hippocampus,-0.5255291713023978,1.1924721106769791e-28,384
Age_x,Left-Amygdala,-0.4919329473882377,8.556167045871277e-25,384
Age_x,Right-Accumbens-area,-0.4602140510524819,1.5901167857522827e-21,384
Animals_raw_x,middletemporal,0.48095084157695495,8.537195027376388e-21,335
Age_x,Left-Inf-Lat-Vent,0.4395517575457918,1.4279291127466689e-19,384
Age_x,Right-Amygdala,-0.432556098920604,6.115079356780375e-19,384
Age_x,Left-Accumbens-area,-0.4245023700601228,3.131301561155576e-18,384
Age_x,parahippocampal_rh,-0.4181844219730767,1.094013347369408e-17,384
Age_x,Right-Inf-Lat-Vent,0.41316035927606976,2.903713292662427e-17,384
Age_x,WM-hypointensities,0.4123948261771574,3.364545623538508e-17,384
Animals_T_x,middletemporal,0.42053129909198184,1.732244018257354e-15,328
Age_x,Left-VentralDC,-0.382109602321586,8.506587627528614e-15,384
Animals_raw_x,inferiortemporal_rh,0.40439682945336963,1.3019273147423367e-14,335
Age_x,entorhinal_rh,-0.3794056191311084,1.356760443239367e-14,384
Age_x,Left-Thalamus-Proper,-0.3788767303914386,1.485731720065796e-14,384
Animals_raw_x,Left-Amygdala,0.4004161449583349,2.4840388404858103e-14,335
Animals_raw_x,middletemporal_rh,0.3999667983499237,2.6705123671610955e-14,335
Animals_raw_x,inferiortemporal,0.3993564018977326,2.945925339564377e-14,335
BNT_totalwstim_raw_x,superiortemporal,0.3979337574771414,3.105299122826407e-14,337
Age_x,Right-Thalamus-Proper,-0.37374652015339244,3.554513002924379e-14,384
Animals_raw_x,Right-Accumbens-area,0.3957860601597455,5.2096505612341506e-14,335
BNT_totalwstim_raw_x,middletemporal,0.3881069567047559,1.4694159653213734e-13,337
Age_x,parahippocampal,-0.36488738460234404,1.5465814372756857e-13,384
BNT_totalwstim_raw_x,fusiform,0.3872247179393562,1.6852206667041774e-13,337
Animals_raw_x,Right-Hippocampus,0.38514406999992046,2.737111959386911e-13,335
Age_x,middletemporal_rh,-0.36054021680264503,3.13044567410177e-13,384
Animals_raw_x,superiortemporal,0.3836324630666792,3.4477503487072906e-13,335
Age_x,Right-Putamen,-0.3595616186531113,3.663562056700861e-13,384
Animals_raw_x,fusiform,0.38259659155258785,4.035828752768992e-13,335
Age_x,Right-VentralDC,-0.35250391791646196,1.1209293039877309e-12,384
Age_x,Right-choroid-plexus,0.3511936148231266,1.3753853350660683e-12,384
Animals_raw_x,bankssts,0.37385094188758006,1.4922360044783195e-12,335
Animals_raw_x,Right-Amygdala,0.37258815620744123,1.796546790214981e-12,335
Age_x,superiortemporal_rh,-0.34702041928795135,2.6221570259881724e-12,384
Animals_raw_x,inferiorparietal_rh,0.36966179261579163,2.7534677235362343e-12,335
Age_x,superiortemporal,-0.34457363607101643,3.811011173015116e-12,384
Age_x,3rd-Ventricle,0.3445715932430006,3.812195849739242e-12,384
BNT_totalwstim_raw_x,entorhinal,0.3654785923407913,4.347209130342914e-12,337
Age_x,Left-Lateral-Ventricle,0.34194489382551885,5.674467598947484e-12,384
Age_x,middletemporal,-0.33928820730834963,8.452840398801188e-12,384
Animals_T_x,middletemporal_rh,0.36485317432927117,9.165095960723778e-12,328
Age_x,fusiform_rh,-0.3370136304143576,1.1854408042419434e-11,384
Animals_raw_x,lateralorbitofrontal,0.35834426894776983,1.379218199003548e-11,335
Age_x,inferiortemporal,-0.33511913189268155,1.5678288806438272e-11,384
Animals_raw_x,Left-Hippocampus,0.3567594010754256,1.7196542737442793e-11,335
Animals_T_x,Right-Accumbens-area,0.35847376980643275,2.2145543608711758e-11,328
BNT_totalwstim_raw_x,insula_rh,0.35352636372761054,2.3442874851655714e-11,337
Age_x,Left-Putamen,-0.33214736963287317,2.4215431179036924e-11,384
Age_x,Right-Lateral-Ventricle,0.3314223720864,2.690561730214235e-11,384
FAS_total_raw_x,superiortemporal,0.35160417547303224,3.0539976474253475e-11,337
Age_x,bankssts_rh,-0.3274013367804892,4.801869824980148e-11,384
Animals_raw_x,parsopercularis,0.34905519360584386,4.9392284067642556e-11,335
Age_x,inferiortemporal_rh,-0.3270879404951622,5.021839521452342e-11,384
FAS_total_raw_x,precentral,0.3458734988538598,6.648314110270446e-11,337
Animals_raw_x,caudalmiddlefrontal,0.3456527080543892,7.800042875371827e-11,335
BNT_totalwstim_T_x,middletemporal,0.34568151233547467,1.0080448377060491e-10,331
Animals_raw_x,bankssts_rh,0.3433843210427519,1.0545539399752763e-10,335
Animals_T_x,inferiortemporal,0.3467046743782549,1.0717318951013456e-10,328
BNT_totalwstim_raw_x,lateralorbitofrontal,0.3422895803854837,1.0728397754170501e-10,337
BNT_totalwstim_raw_x,entorhinal_rh,0.3416034208012584,1.1749578301454717e-10,337
BNT_totalwstim_raw_x,inferiortemporal,0.3411312104663483,1.250665517963651e-10,337
BNT_totalwstim_T_x,superiortemporal,0.3436779811052084,1.3117860885887433e-10,331
Animals_raw_x,caudalmiddlefrontal_rh,0.34125747618804125,1.396085418476142e-10,335
BNT_totalwstim_raw_x,parahippocampal,0.33796506452538577,1.8958107296187276e-10,337
Animals_raw_x,Right-Thalamus-Proper,0.3367127264032614,2.524596134465788e-10,335
Animals_raw_x,Left-Thalamus-Proper,0.336459709227334,2.608510606101362e-10,335
Animals_raw_x,entorhinal_rh,0.33520946380970373,3.0646017141096036e-10,335
Age_x,entorhinal,-0.3139854838113366,3.121648387120202e-10,384
Animals_T_x,caudalmiddlefrontal,0.33747970864143795,3.5259491129251595e-10,328
Animals_raw_x,superiorfrontal,0.3335273661833645,3.8021820587873705e-10,335
Animals_T_x,inferiorparietal_rh,0.33464937079772755,5.041617881585153e-10,328
Animals_raw_x,fusiform_rh,0.32959841585942456,6.260288902135223e-10,335
BNT_totalwstim_raw_x,superiortemporal_rh,0.3281760089518833,6.660552622403963e-10,337
BNT_totalwstim_raw_x,Left-Amygdala,0.3276919010526752,7.079457705118843e-10,337
Age_x,precentral_rh,-0.30753723313100484,7.429235205125472e-10,384
Animals_raw_x,inferiorparietal,0.3266463904225028,9.063426119085418e-10,335
BNT_totalwstim_raw_x,medialorbitofrontal_rh,0.32495625369835757,9.972801445904563e-10,337
BNT_totalwstim_raw_x,Left-Hippocampus,0.324541765370728,1.0501125554558517e-09,337
Animals_raw_x,Left-Accumbens-area,0.32458101790686245,1.1713923664144351e-09,335
BNT_totalwstim_raw_x,Right-Hippocampus,0.32260309362658585,1.335501170806432e-09,337
FAS_total_raw_x,middletemporal,0.3225461866150027,1.3449243686420345e-09,337
BNT_totalwstim_raw_x,lateraloccipital,0.3218146799355076,1.4719509883213235e-09,337
Animals_raw_x,superiortemporal_rh,0.3226837786382931,1.4801490008962374e-09,335
BNT_totalwstim_raw_x,inferiortemporal_rh,0.32164730665675645,1.5026116648151364e-09,337
BNT_totalwstim_raw_x,parahippocampal_rh,0.3215202760045466,1.5262947867486751e-09,337
Animals_T_x,Right-Amygdala,0.3253807878382082,1.585479622178724e-09,328
Animals_raw_x,precentral,0.3219756336321795,1.6145385235769243e-09,335
Age_x,fusiform,-0.3008683464233889,1.7818647802606747e-09,384
Animals_T_x,Left-Amygdala,0.3239338181503233,1.8894818864287713e-09,328
FAS_total_raw_x,Right-Thalamus-Proper,0.3197170589845263,1.904172052769059e-09,337
Animals_raw_x,parahippocampal_rh,0.32051862238318063,1.9292886380894587e-09,335
BNT_totalwstim_raw_x,fusiform_rh,0.3192103096040539,2.0257657600796156e-09,337
Animals_T_x,inferiortemporal_rh,0.3226015349253441,2.218868951864856e-09,328
Animals_T_x,parsopercularis,0.3225687606057675,2.2276357977390514e-09,328
Age_x,Left-choroid-plexus,0.29877227256155686,2.3351343243752533e-09,384
BNT_totalwstim_raw_x,middletemporal_rh,0.31763773671705364,2.452988040680883e-09,337
