Independent_Variable,Dependent_Variable,Correlation,P_Value,Sample_Size
Age_x,bankssts,-0.2876304617322455,9.481793422457493e-09,384
Age_x,caudalanteriorcingulate,-0.1883586372090939,0.0002053770039301238,384
Age_x,caudalmiddlefrontal,-0.21636370930587423,1.8960926177513682e-05,384
Age_x,cuneus,-0.14066963074470556,0.005757057531020035,384
Edu_x,caudalanteriorcingulate,0.1040563658744664,0.043188919989637635,378
Edu_x,caudalmiddlefrontal,0.15702172827785915,0.00220043635660701,378
Edu_x,cuneus,0.1464862951038433,0.0043172876761493895,378
FAS_total_raw_x,bankssts,0.27373509238262395,3.320982284627624e-07,337
FAS_total_raw_x,caudalanteriorcingulate,0.24146985545589697,7.365721777443313e-06,337
FAS_total_raw_x,caudalmiddlefrontal,0.2969502919841229,2.746575007969309e-08,337
FAS_total_raw_x,cuneus,0.13389234285060514,0.01389796911245215,337
FAS_total_T_x,bankssts,0.2589228362796183,1.8012374138247427e-06,331
FAS_total_T_x,caudalanteriorcingulate,0.21907257354396256,5.831416374241696e-05,331
FAS_total_T_x,caudalmiddlefrontal,0.2800170305858475,2.2288026106262945e-07,331
FAS_total_T_x,cuneus,0.11083461799904676,0.043900134399819185,331
Animals_raw_x,bankssts,0.37385094188758006,1.4922360044783195e-12,335
Animals_raw_x,caudalanteriorcingulate,0.20656309802976708,0.00014024311902362138,335
Animals_raw_x,caudalmiddlefrontal,0.3456527080543892,7.800042875371827e-11,335
Animals_raw_x,cuneus,0.1684287100509238,0.0019790584889495125,335
Animals_T_x,bankssts,0.29722038481322943,4.092167139571928e-08,328
Animals_T_x,caudalanteriorcingulate,0.154971076352692,0.004909022506835532,328
Animals_T_x,caudalmiddlefrontal,0.33747970864143795,3.5259491129251595e-10,328
Animals_T_x,cuneus,0.12937608189996158,0.019077416031408726,328
BNT_totalwstim_raw_x,bankssts,0.2580405990851936,1.5792019454941537e-06,337
BNT_totalwstim_raw_x,caudalanteriorcingulate,0.2305256843386217,1.9211236751487365e-05,337
BNT_totalwstim_raw_x,caudalmiddlefrontal,0.2650481918975355,7.96924340425265e-07,337
BNT_totalwstim_raw_x,cuneus,0.19559971267580387,0.0003034397421113568,337
BNT_totalwstim_T_x,bankssts,0.2363906146187451,1.3849487389361235e-05,331
BNT_totalwstim_T_x,caudalanteriorcingulate,0.19363983803700335,0.00039525108606877575,331
BNT_totalwstim_T_x,caudalmiddlefrontal,0.26572296385179284,9.363253679138931e-07,331
BNT_totalwstim_T_x,cuneus,0.1311192622448824,0.016995983123177207,331
