Group,Region,Mean,SD
NC,rostralmiddlefrontal,13754.363636363636,2054.2415829495035
NC,caudalmiddlefrontal,5778.5,922.1495832272299
NC,parsopercularis,4331.969696969697,802.3598649694244
NC,parsorbitalis,2267.2272727272725,352.9212069593982
NC,parstriangularis,3413.681818181818,565.611939790495
NC,lateralorbitofrontal,7202.909090909091,763.169337540652
NC,middletemporal,10299.121212121212,1556.9700606296096
NC,superiorfrontal,20618.272727272728,2473.2310013449987
NC,precentral,12862.09090909091,1368.437511316327
NC,Left-Caudate,3248.721212121212,390.21962554247347
NC,rostralanteriorcingulate,2433.6363636363635,452.6740935430644
NC,caudalanteriorcingulate,1599.6060606060605,380.8183446933874
NC,rostralmiddlefrontal_rh,14121.060606060606,2136.2648775467023
NC,caudalmiddlefrontal_rh,5408.227272727273,852.589102863553
NC,parsopercularis_rh,3582.742424242424,580.6450341740259
NC,parsorbitalis_rh,2580.257575757576,393.37976603574873
NC,parstriangularis_rh,3924.530303030303,626.8683635512683
NC,lateralorbitofrontal_rh,7028.681818181818,742.8790596071458
NC,middletemporal_rh,11142.666666666666,1690.7827439323737
NC,superiorfrontal_rh,19295.666666666668,2373.2582882113993
NC,precentral_rh,12632.80303030303,1455.2506759444675
NC,Right-Caudate,3402.172727272727,411.321864067715
NC,rostralanteriorcingulate_rh,1844.6060606060605,381.4459888689911
NC,caudalanteriorcingulate_rh,1798.378787878788,440.0496742991816
MCI,rostralmiddlefrontal,12662.537142857143,1758.5213118049633
MCI,caudalmiddlefrontal,5205.8,885.5416032205843
MCI,parsopercularis,3951.6628571428573,704.9760781323835
MCI,parsorbitalis,2090.937142857143,318.1665716109101
MCI,parstriangularis,3130.194285714286,551.7336386456205
MCI,lateralorbitofrontal,6762.188571428572,908.2705075092806
MCI,middletemporal,9139.445714285714,1529.4419935686662
MCI,superiorfrontal,18637.497142857144,2460.184615711307
MCI,precentral,11959.788571428571,1741.3386830436057
MCI,Left-Caudate,3135.4805714285712,491.08488026038947
MCI,rostralanteriorcingulate,2298.617142857143,485.31722857128386
MCI,caudalanteriorcingulate,1531.16,394.3450230970074
MCI,rostralmiddlefrontal_rh,13088.4,1807.2423394672942
MCI,caudalmiddlefrontal_rh,5015.68,915.8617011493516
MCI,parsopercularis_rh,3258.4342857142856,499.822387961353
MCI,parsorbitalis_rh,2402.7942857142857,367.8890277634934
MCI,parstriangularis_rh,3553.697142857143,608.9153771141297
MCI,lateralorbitofrontal_rh,6612.411428571429,864.4982545109881
MCI,middletemporal_rh,10165.485714285714,1509.1128620954337
MCI,superiorfrontal_rh,18006.948571428573,2381.6360822708375
MCI,precentral_rh,11672.628571428571,1724.7161866424105
MCI,Right-Caudate,3260.734857142858,502.4028225207807
MCI,rostralanteriorcingulate_rh,1724.0057142857142,415.1553717896228
MCI,caudalanteriorcingulate_rh,1719.28,389.82478586944785
Dementia,rostralmiddlefrontal,11951.909722222223,1982.2900400753022
Dementia,caudalmiddlefrontal,4926.645833333333,943.4490470915964
Dementia,parsopercularis,3589.902777777778,573.129994400695
Dementia,parsorbitalis,2024.923611111111,347.9387873151501
Dementia,parstriangularis,2913.3888888888887,521.5276124090175
Dementia,lateralorbitofrontal,6399.604166666667,934.0508081203873
Dementia,middletemporal,8145.548611111111,1448.1578789537004
Dementia,superiorfrontal,18021.881944444445,2596.2931523267107
Dementia,precentral,11250.722222222223,1541.6439796730501
Dementia,Left-Caudate,3096.4777777777776,666.1905438847513
Dementia,rostralanteriorcingulate,2213.0416666666665,470.8421836328088
Dementia,caudalanteriorcingulate,1437.3680555555557,403.07671182514775
Dementia,rostralmiddlefrontal_rh,12468.375,2097.777368159843
Dementia,caudalmiddlefrontal_rh,4599.5,904.9253417414467
Dementia,parsopercularis_rh,3095.2013888888887,573.6449960877538
Dementia,parsorbitalis_rh,2327.2638888888887,364.5443748082683
Dementia,parstriangularis_rh,3392.777777777778,620.5378835794517
Dementia,lateralorbitofrontal_rh,6344.0625,934.4509342464087
Dementia,middletemporal_rh,9034.125,1628.7214337452733
Dementia,superiorfrontal_rh,17218.20138888889,2810.0638585677775
Dementia,precentral_rh,11018.513888888889,1548.0402498612123
Dementia,Right-Caudate,3205.172916666667,720.6875534383425
Dementia,rostralanteriorcingulate_rh,1608.1944444444443,450.28796190909725
Dementia,caudalanteriorcingulate_rh,1614.1666666666667,432.9618597844062
